"Status","Life.expectancy","Adult.Mortality","Alcohol","BMI","infant.deaths","percentage.expenditure","HIV.AIDS"
0,65.5,237,0.01,35.8,2,715.2816939,2.8
1,81.4,66,12.32,57.1,0,8350.193523,0.1
0,72.7,135,1.29,44.6,10,93.50075111,0.1
0,63.1,245,0.01,48.8,14,5.103249438,0.5
0,76,119,8.28,61.6,8,1001.796332,0.1
0,74.4,123,0.5,52.8,20,352.0636419,0.1
1,81.3,63,8.37,59.4,2,5228.821581,0.1
0,76.2,91,5.28,54.3,1,41.82275719,0.1
0,76.4,94,4.54,53.1,0,630.3883564,0.1
0,73.9,146,1.69,15.6,5,72.4280894,0.1
1,76.6,11,11.89,5.1,1,167.3280168,0.1
0,76,121,3.82,53.5,6,79.11626341,0.1
0,63,275,1.78,24.2,41,161.0106435,2.2
1,82,61,9.35,64.8,1,4255.781693,0.1
0,80,71,2.41,6.6,1,250.9343317,0.1
0,79.2,96,4.07,54.4,1,24.88720369,0.1
0,67.4,232,0.17,19.5,1,27.48907048,0.4
0,74.8,12,1.28,56.5,3,64.85616718,0.1
0,75.2,19,1.41,64.5,17,188.1440348,0.1
0,54.1,412,1.82,16.4,70,39.55677502,11.6
0,64.7,249,0.03,53.2,31,75.25799773,0.1
0,53.3,394,5.22,23.8,58,0.962497052,7.2
0,73.4,16,1.6,17.3,0,611.9093566,0.1
0,69.8,226,14.22,57.7,1,464.077513,0.1
0,85,75,8.2,61.9,2,771.1817686,0.1
0,76,174,3.3,67.4,0,208.1688437,0.1
0,64,284,1.75,41.3,2,73.24150483,0.1
0,82.2,79,11.5,62,3,6739.677606,0.1
0,67.7,254,10.74,54.9,1,14.06141699,0.1
0,67.8,231,0.01,49.2,1,253.8285861,0.1
1,82.3,61,10.03,65,1,11714.99858,0.1
0,64.1,222,0.46,67.9,0,11.07543331,0.1
0,61.8,286,0.79,44.9,10,18.99961966,1.1
0,59.2,349,2.59,21.7,29,196.9152496,5.6
0,75,127,4.77,54.1,49,12.1859723,0.1
0,53.2,446,10.09,14.5,99,44.52614001,8.7
0,57.1,263,0.11,16.9,51,5.665405066,1.1
1,73,219,7.44,56,0,376.4570185,0.1
0,63.7,183,0.01,18.4,364,28.98323119,0.1
0,64.8,175,0.03,21.3,371,0.697215581,0.1
0,67.5,183,0.22,15.9,25,6.19357029,0.2
0,73.8,13,5.38,56.5,0,595.7306923,0.1
0,71.4,162,3.62,68.9,0,310.6117683,0.1
0,73,189,17.87,56.3,0,1904.12469,0.1
0,71.9,131,0.55,54.8,4,248.697463,0.1
0,65,254,0.73,16.7,1,145.5965445,0.3
0,72.9,172,0.01,35.5,0,1521.672751,0.1
0,61.2,278,1.8,19.5,60,109.7051836,3.4
0,58.6,281,0.01,16.2,77,56.76221682,0.1
0,61.4,311,0.63,15.5,6,1.575160196,1
0,61.7,215,0.01,26.8,8,11.14504291,1.2
0,64.1,216,2.03,14.3,17,51.50447119,1.1
0,78,149,0.83,48.2,0,361.0940984,0.1
1,78.5,71,6.7,63.9,0,1678.392773,0.1
0,71.1,194,5.88,18.7,18,0.27564826,0.8
0,63,328,2.41,22.3,29,20.62306285,4.8
0,69.6,181,7.24,45,0,69.63051047,0.6
1,81,67,10.49,61.3,0,703.5527332,0.1
0,71.8,172,6.95,46.1,88,15.85781237,0.1
0,66.9,163,0.1,15.5,2,38.58376645,0.1
0,54.3,288,0.53,18.5,57,67.70920683,1.8
0,73,155,5.39,45.6,3,30.93519548,0.1
0,68.9,23,2.31,58,0,60.65068446,0.1
0,62,312,0.17,13.9,1,93.35872844,0.1
0,63.3,229,2.33,38.7,7,130.3784829,0.1
0,80,78,9.08,63.1,0,372.6854142,0.1
1,74.1,14,12.06,64.5,1,149.659879,0.1
0,74.7,95,1.62,63,1,8.140373615,0.1
0,66,217,2.9,47.7,7,691.1333535,0.1
0,57.5,295,0.02,15.2,82,10.91015598,0.1
0,75.4,124,5.86,56.3,1,27.46880965,0.1
0,72.1,186,7.91,29.2,0,12.94324581,0.1
0,75.4,126,8.41,58.6,10,1413.73543,0.1
1,79.9,75,9.53,59,1,3064.301144,0.1
0,56.9,283,4.55,16.1,44,81.14304705,1.1
0,72.4,149,0.54,26,4,23.37167228,0.1
1,81.7,58,7.4,57.7,0,11477.6671,0.1
0,69.9,185,6.41,4.2,0,1902.693048,0.3
1,78.8,91,12.05,59.8,1,5160.508378,0.1
0,55.3,293,4.58,15.1,46,73.92730583,1.7
0,64.6,217,0.49,69.7,0,70.75572222,0.1
0,72.6,141,2.86,47.4,1,53.19373012,0.1
0,47.1,568,6.72,26.3,3,143.6197316,48.8
0,75.9,17,0.01,61.3,0,726.0291764,0.1
0,67.2,161,0.5,15.8,2,2.726570602,0.1
0,63.9,292,6,43.9,9,112.541157,0.1
0,59.9,268,0.01,18.1,66,73.21924272,0.1
1,79.8,81,12.4,53.2,0,69.92899358,0.1
0,76.3,118,6.21,61.2,0,2331.532804,0.1
0,72.1,174,5.93,55.8,6,857.1307037,0.4
0,66,271,1.76,24.9,41,30.72290501,2.1
0,69,218,2.79,45.3,4,353.6690328,0.4
1,79.4,85,12.4,52.7,0,5992.588029,0.1
0,56,276,0.59,2.2,55,84.63438925,1.6
0,45.5,648,1.99,26.4,5,5.300902041,33.8
0,79.7,71,2.32,59.6,1,1731.755747,0.1
0,71.8,163,4.45,48.2,17,393.8773633,0.1
0,68.7,223,0.01,21.9,0,188.7373664,0.6
0,78.9,9,7.39,58.7,2,209.4875875,0.1
0,67.9,22,1.85,52.2,0,206.071686,0.1
0,76.6,118,6.67,6.7,0,1871.736563,0.1
0,68.6,151,0.01,13.5,154,46.36536703,0.1
0,76.9,92,4.64,53.7,0,7.959131146,0.1
0,68.5,186,0.99,47.2,0,229.6687488,0.1
0,72.5,173,3.83,47.9,3,253.0007812,0.2
0,71.9,123,0.01,49.7,5,285.6103912,0.1
0,77.3,122,0.01,59.4,0,2700.07305,0.1
0,67.8,221,1.93,51.2,0,20.7119129,0.1
0,56.7,375,0.01,22.2,61,54.91159475,4.1
0,79.3,81,9.95,6.5,0,2785.139364,0.1
0,69.7,187,6.37,39.3,0,136.8836683,0.7
0,72.8,148,4.44,48.8,13,411.5645653,0.4
0,68.1,227,0.01,5.4,1,241.1958645,0.1
0,77,137,0.01,16.4,111,59.2589257,0.1
0,67.8,235,6.64,48.5,7,808.243302,0.1
0,72.6,144,3.01,72.5,0,434.7940679,0.1
0,77.6,65,0.01,24.1,0,1259.940376,0.1
0,59.8,296,0.45,3.9,1,20.86878709,3.5
0,79,169,4.17,68.2,0,24.99717134,0.1
0,62.2,212,0.01,28.1,8,79.27658464,1.2
0,61.6,288,0.82,44.2,11,20.53327531,1.1
0,73.8,14,4.69,51.5,10,570.4532468,0.3
0,73.9,138,4.85,5.8,11,58.4989742,0.3
0,78.6,97,4.1,5.3,1,1002.833273,0.1
0,71.2,188,6.13,44.1,7,340.0239945,2.5
0,73.7,14,4.72,52.2,10,69.43934508,0.2
0,74.5,125,6.13,55.3,1,221.482875,0.1
0,73.1,166,3.48,44.5,1,155.5884677,2.3
1,79.5,86,10.25,6.9,0,640.3560918,0.1
0,73.5,11,3.04,23.4,360,1.58668462,0.1
0,72.4,148,1.79,7.1,0,503.5881956,0.1
0,67.5,257,4.49,54.8,6,7.883791474,0.7
0,68.5,199,4.99,42,0,262.8299189,0.1
1,76.7,128,10.93,59.1,2,250.0773782,0.1
0,72.4,124,4.45,26.8,0,339.9777364,0.4
0,74.1,131,9.85,56.4,1,820.8109098,0.1
0,75.6,127,5.36,58.7,37,159.8772264,0.1
0,63.2,231,0.4,15.2,69,3.824212472,0.5
1,74.3,138,12.03,65.1,1,153.1400362,0.1
0,67.4,24,0.9,42.1,0,25.31155956,0.1
0,53,432,1.43,15.9,72,36.29775249,13.2
0,81.7,83,11.8,6.6,3,683.9190568,0.1
0,72.9,164,6.05,5.4,6,74.8217488,1.6
0,59.4,287,0.01,23.1,14,48.73047089,1.5
0,75.7,12,8.11,6.4,9,1504.329462,0.1
0,72.3,182,4.94,32.4,0,75.2256582,0.1
0,75.3,125,0.01,54.9,8,973.728675,0.1
0,75.4,123,9.09,59.4,1,8.617208431,0.1
0,71.7,189,6.14,2.9,15,282.8364612,0.6
0,67.3,282,12.19,56.1,16,11.02617159,0.3
0,76.3,123,5.29,61.5,33,112.696486,0.1
1,79.4,85,11.98,57.5,0,15345.4907,0.1
0,72.4,15,4.25,49,16,417.8038898,0.1
0,53.8,4,1.18,2.1,70,39.75216936,11.3
0,58.4,288,0.01,21.7,28,4.344930862,1.9
0,68,219,4.42,22.1,59,159.5348489,0.1
0,65.6,27,0.33,2.5,47,21.23698847,0.5
1,88,72,11.5,59.6,0,17028.52798,0.1
0,68,184,3.07,18.1,957,86.52153895,0.2
0,65.6,22,2.75,45.9,7,579.4128244,0.1
0,62.7,278,0.01,47.9,10,208.2311603,0.7
0,74.9,97,1.29,64.9,1,14.55610463,0.1
1,79.7,82,11.75,57.9,0,267.051312,0.1
0,71.5,174,4.08,26.9,0,407.779262,0.1
0,88,73,7.53,66,0,2163.043414,0.1
0,73.6,157,7.33,51.1,57,564.5233902,0.1
0,56.3,41,9.79,15.6,84,72.85023656,8.2
0,75,175,3.43,66.5,0,199.4118322,0.1
0,71.7,166,6.64,41.3,4,155.4233076,0.1
0,83,76,9,63.7,0,3189.754439,0.1
0,44.8,666,1.8,26.9,5,67.91361818,34.6
0,72.8,135,1.25,45.3,9,91.70356833,0.1
0,65.8,21,4.13,26.2,0,11.13608747,0.9
1,81.4,68,11.02,6.5,0,15515.75234,0.1
0,62.2,284,0.01,46.4,10,31.6357652,1
0,66.2,168,0.06,14.7,2,36.69198927,0.1
0,65,37,7.72,3.8,2,353.2438029,10.9
1,81.3,7,10.24,62.3,2,5596.535203,0.1
0,68.8,182,0.01,48.9,0,24.73328608,0.1
0,52.3,375,8.75,22.8,513,187.5733187,4.7
0,78,174,6.7,44,0,1486.236406,0.4
0,79.2,11,13.78,55.8,3,3779.655273,0.1
1,72,155,11.19,58.6,1,32.38616103,0.1
0,75.3,115,6.56,59.1,0,635.4849381,0.1
0,65.1,21,0.46,74.1,0,167.6201552,0.1
0,69.7,28,5.71,48.2,7,289.7418649,2
0,67.2,217,4.44,19.2,67,0.901149288,0.1
1,87,59,6.91,68,0,3601.287457,0.1
0,52,48,6.66,14.5,29,33.30286123,8.1
1,83,76,11.42,58.8,0,2052.393076,0.1
0,58.5,39,1.06,14.5,186,30.46451811,2.8
0,52.9,462,1.08,17.6,35,9.728005297,13.7
0,64.4,284,5.75,44.4,8,12.60883976,0.1
0,72.2,185,8.12,3.7,0,102.373909,0.1
0,68.2,152,0.01,13,164,42.3304549,0.1
0,52.3,52,2.39,3.2,4,195.825251,10.5
0,72.7,174,0.01,34.8,0,177.2633961,0.1
0,74.1,96,0.43,57.5,18,198.7343495,0.1
0,67,325,0.01,17.6,71,90.76144414,4
0,76.9,86,5.14,55.8,0,412.4433563,0.1
1,78.8,88,12.2,51.7,0,504.4308735,0.1
0,71,177,4.6,25.3,0,336.3213326,0.1
1,78.5,66,10.62,54.3,0,158.7087399,0.1
0,65.1,172,0.04,21.9,372,0.66751505,0.1
0,64,271,1.31,4.5,2,56.05686428,0.1
0,66.5,238,0.16,18,1,283.806236,0.3
0,73.2,159,3.14,45.1,4,231.9112915,0.6
0,67.6,187,3.11,17.5,1000,67.67230438,0.2
0,74.4,151,3.69,45.8,8,18.26183281,0.3
0,77,25,8.44,59.6,5,453.7830847,0.2
0,67.5,278,12.04,56.6,16,161.7301654,0.3
0,86,92,12.4,58,3,5689.991931,0.1
1,72.6,184,9.85,58.5,0,1137.6237,0.1
0,59.8,289,1.13,14.9,177,38.55783268,2.4
0,52.8,296,0.49,17.5,58,57.11644801,2
0,72.2,11,2.84,21.2,457,14.23064496,0.1
0,66.6,165,0.09,15.1,2,36.199487,0.1
0,76.5,118,5.77,62.3,0,339.7190493,0.1
0,59.2,393,5.01,34.7,2,426.7855662,9
0,57.6,377,0.01,19.2,27,59.48744893,5.1
0,66.9,194,0.01,28.5,0,8.198047581,0.5
0,70,226,14.09,58.7,0,434.7985025,0.1
1,82.1,63,9.62,64.1,1,4873.8188,0.1
0,59.1,342,0.64,13.6,7,10.26097341,1.8
0,74.3,143,4.44,55.7,11,1487.896562,0.1
1,81,67,10.3,61.5,1,579.1331637,0.1
1,89,76,12.6,63.4,0,7163.348923,0.1
0,71.6,135,1.42,55.9,35,459.1113061,0.1
0,67.6,2,0.99,43,0,240.4851202,0.1
1,89,66,8.98,57.6,2,4270.914882,0.1
0,70,196,5.13,54.1,0,885.0739766,0.6
0,73,16,3.16,44.3,5,222.4823338,0.7
0,73.9,118,1.4,61.1,23,106.9482898,0.1
0,65.7,24,0.01,76.2,0,147.4549755,0.1
1,76.6,16,12.1,6.6,0,206.8868182,0.1
0,71.3,189,2.02,48.6,11,484.7187892,0.4
1,74.3,139,9.1,57.7,2,10.32588862,0.1
0,76,147,0.01,57.2,32,429.6625083,0.1
0,71.7,194,2.68,51.4,2,53.95949877,0.3
0,72.5,159,5.61,44.2,3,318.6201852,0.1
0,64.8,214,0.48,71.4,0,10.6242741,0.1
0,79.6,88,7.31,59.3,2,241.5533381,0.1
0,75.6,137,14.97,57.6,0,1802.017593,0.1
0,71.1,193,2.16,47.9,11,457.7745845,0.4
0,73.9,127,8.14,52.8,1,198.94876,0.1
0,55.3,37,6.15,26,53,100.8987451,5.5
0,66,2,2.5,15.4,1300,0.844186331,0.2
0,58.6,271,4.75,17.7,41,78.76987363,0.8
0,58.8,284,0.01,22.2,27,5.140668848,1
0,59.3,251,0.01,24.1,25,9.80407467,1.3
0,64.1,241,2.58,42,6,0.358651421,0.1
0,74.4,12,8.65,49.9,1,106.164686,0.1
0,67,223,4.22,2.1,65,105.7306982,0.1
0,73.6,156,3.1,46.8,4,302.1057507,0.4
0,74.8,99,1.32,65.4,1,140.3771361,0.1
0,45.1,615,1.11,15.5,40,58.13583343,23.4
0,52,374,8.9,22.2,521,133.1230872,4.8
1,81.3,66,10.56,62.5,1,872.5986092,0.1
0,72,142,2.9,47.1,1,32.75626853,0.1
0,76.8,117,5.82,62.9,0,482.8039445,0.1
0,72.9,141,4.01,49.2,1,244.5352767,0.1
0,47.8,592,2.75,28.8,5,91.85432774,27.3
0,59.3,268,0.01,18.8,39,8.386339501,0.6
0,77.3,67,1.92,23.1,0,1079.893546,0.1
0,75.7,1,4.82,51,0,38.25414065,0.1
0,72.6,145,1.1,71.5,0,569.6255035,0.1
0,69.1,219,0.01,22.7,0,19.79057439,0.6
0,56.7,295,0.01,13.4,87,11.08905273,0.1
0,73.3,165,6.2,24.6,12,520.7639087,0.4
0,72.9,161,3.24,29.1,0,582.5143743,0.1
0,61.4,223,0.01,18.9,49,3.304039899,0.5
0,79.1,89,7.93,6.6,2,177.4925143,0.1
0,73.9,147,0.01,49.4,3,561.7684701,0.2
0,68.4,172,0.27,16.9,22,112.1229028,0.2
0,71.9,165,6.2,42,3,20.60083027,0.2
1,86,71,10.94,61.4,2,895.8779503,0.1
0,69.2,231,8.71,58,5,324.5491348,0.3
0,73.5,146,4.45,52.8,14,978.07041,0.1
0,62.8,26,7.92,18.3,16,63.78723633,2.3
0,57.9,339,1.71,17.9,64,60.5153506,6.4
1,81.3,66,10.76,62.9,1,8547.292357,0.1
0,55.3,316,0.01,12.6,88,10.5747282,0.1
0,65.5,26,0.53,75.7,0,30.46703899,0.1
0,66.7,174,0.3,35.9,10,35.71613793,0.2
0,63.8,247,8.34,18.9,14,9.074569426,1.3
0,75.2,123,6.48,55.7,1,421.4804282,0.1
0,73.8,148,5.03,48.6,3,573.4346982,0.2
0,71,198,8.44,6.1,4,52.42529588,0.2
1,80,79,11.22,59.5,2,7641.270645,0.1
0,68.1,218,1.63,54.2,0,43.99452464,0.1
0,57.5,378,9.63,15.9,82,87.04534954,8.1
0,67.9,189,0.08,22.1,143,125.7980678,0.3
0,81.1,88,11.8,59.6,3,6415.35735,0.1
0,78.2,62,0.01,26.2,0,2051.748615,0.1
0,53.6,29,0.55,18,57,60.21211141,1.9
0,73.1,13,2.96,22.6,391,122.9365349,0.1
0,72.8,12,0.01,29.7,0,325.6298627,0.2
1,79.5,87,10.47,61.3,0,7191.051507,0.1
0,72.7,134,3.03,48.1,1,7.341493148,0.1
1,83,62,7.91,67.6,0,278.0687051,0.1
0,61.2,219,0.02,25.5,8,7.35400072,1.3
0,53.2,367,8.3,24.1,498,194.2032879,3.9
0,64.2,286,0.01,36.8,2,1.117811275,2.8
1,71.9,162,7.68,53.9,3,615.4030781,0.1
0,73.7,13,2.1,6.2,1,618.3614858,0.1
0,64.9,213,0.6,72.1,0,111.7392134,0.1
0,75.5,17,1.45,65.3,16,181.9083783,0.1
0,75.3,1,5.61,52.6,1,36.62206845,0.1
0,68.9,25,4.47,51.1,0,418.9206608,0.6
0,75,93,1.53,64.4,1,151.1526829,0.1
0,58.4,259,1.16,22.5,25,71.01399249,1.6
0,78.2,84,8.48,57.4,1,122.1823517,0.1
1,77,175,10.16,51.4,4,152.6368899,0.1
0,73.6,157,6.05,52.6,6,587.8828228,1.2
0,64.5,274,2.75,42.1,2,98.68367951,0.1
0,72,176,6.58,43.1,7,44.79247812,2.5
0,61,255,0.12,2.6,2,93.36788979,0.1
0,46,66,1.04,15.9,39,5.670640102,22.4
0,78,23,8.06,6.7,4,5.663849328,0.2
0,67.7,253,4.31,55.1,6,8.897421459,0.8
0,76.2,117,6.58,58.9,1,1712.225506,0.1
0,75.3,112,0.53,57.2,21,544.4507432,0.1
0,71.3,171,2.74,39.6,6,15.36175284,1.6
0,68,22,1.76,53.2,0,253.8196705,0.1
0,52.1,437,1.66,15.1,76,32.73674134,15.7
1,78.4,91,12.25,56.1,3,437.1059663,0.1
0,48.2,375,6.35,18.8,87,184.8213446,2.6
0,75.6,126,8.33,59.2,10,1398.042623,0.1
0,58.1,329,0.01,26.7,8,54.37396957,0.9
0,64.3,219,0.6,68.8,0,59.97185848,0.1
0,74,148,0.2,55.2,32,185.6366983,0.1
0,73.8,154,7.52,52,54,1111.191325,0.1
0,64.3,212,0.28,21.7,21,1.020071763,0.4
0,73,22,6.32,46.1,7,293.0196601,2.3
0,73.4,158,4.13,44.3,9,14.5887403,0.3
0,63.4,3,0.01,36.2,2,12.83447357,4.4
1,78,179,9.78,51.9,4,180.1095132,0.1
0,67.3,191,0.01,3.1,0,225.7307751,0.2
0,62,329,1.23,14.7,6,11.42385961,1.3
0,79.4,8,9.67,61.8,0,3632.243121,0.1
1,77.3,12,10.71,61.1,2,243.808475,0.1
0,75.9,9,5.58,51.7,1,32.24655228,0.1
0,77.2,84,4.76,56.5,0,430.8769785,0.1
1,71.8,157,10.2,58.1,1,33.26778134,0.1
0,61.8,246,0.15,21.6,2,47.30421873,0.1
0,79.7,78,7.7,6,2,4687.845565,0.1
1,77.7,97,12.39,62.5,0,1899.107385,0.1
0,52.6,487,2.08,19.2,32,10.85148218,13.6
0,73,181,2.48,54.1,2,591.7757569,0.3
0,74.7,142,3.33,49.7,1,235.7067417,0.6
1,81.2,65,8.44,58.8,2,473.1915451,0.1
0,66.8,221,4.42,18.7,68,0.09987219,0.1
1,69.9,228,6.68,55.7,0,332.2751709,0.1
0,50,51,5.55,28.5,3,43.3664999,40.7
1,78.6,92,12.4,5.6,0,3582.848308,0.1
0,65.6,199,2.24,15.3,16,53.10009046,0.7
0,69.6,169,0.85,44.1,0,334.1673373,0.1
0,45.4,7,4.57,27.9,28,34.26216876,26.8
0,62.4,281,0.01,47.2,10,25.70881695,0.8
0,71.8,129,3.28,46,2,47.81704183,0.1
1,79,67,6.41,65,0,2247.035692,0.1
0,46.6,67,3.88,28.2,29,29.81456607,23.7
1,79.6,65,7.45,66.1,0,2578.888314,0.1
0,56.2,344,1.33,2.4,14,69.35924758,4.8
0,53.4,369,5.54,14.1,24,1.747440948,4.3
0,76.5,122,6.94,54.2,1,1199.319976,0.1
0,51.8,367,0.62,17.9,46,57.8242709,3.6
0,74.9,156,15.04,57.1,0,1717.088711,0.1
0,68.9,179,0.09,26.5,119,200.0684443,0.3
0,59.1,317,1.86,18.4,62,7.146851404,5
0,59.3,327,0.61,38.9,11,110.9803062,1.4
0,71.4,189,1.93,49.3,11,582.1469583,0.4
0,74.6,12,1.24,53.9,3,469.6282925,0.1
1,72.2,192,12.4,59.7,0,1446.529217,0.1
0,65,211,0.68,73.4,0,188.7108773,0.1
0,74.5,133,4.83,52.9,9,759.5380695,0.2
0,76.1,124,5.3,6.8,34,1117.196097,0.1
0,58.3,34,1.46,21.8,41,53.23775977,3.2
0,64.2,234,0.01,17.2,140,89.95805845,0.6
0,67.3,171,0.32,36.6,10,43.34099958,0.2
1,81.1,63,8.96,59.9,1,1047.370244,0.1
1,78.7,69,6.53,64.5,0,203.3157499,0.1
0,52.6,362,0.01,18.7,46,11.3020668,2.9
0,72.4,127,0.55,57.8,4,27.44252286,0.1
0,64.2,22,0.28,17,61,4.632776304,0.6
0,68.4,154,0.62,44.2,6,8.59680496,0.1
0,61.6,298,8.75,32.4,2,11.05422474,8.9
0,69.3,199,4.52,51.8,0,72.800168,0.6
0,71.9,168,4.16,27.5,0,509.3899943,0.1
0,61.2,263,1.64,26.1,40,225.2219474,1.3
0,49.1,369,7.01,19.8,81,212.9229325,2.5
0,57.4,368,2.3,2.2,30,143.8698873,9.1
0,73.8,132,0.47,33.4,3,438.4519214,0.1
1,71.4,22,11,57.5,0,561.9168642,0.1
0,73,24,2.97,47,3,29.68529375,0.4
0,73.4,117,0.51,61.7,4,715.9709092,0.1
0,72.3,134,3.74,48.1,1,7.132564768,0.1
0,71.2,141,0.85,49.9,0,457.9731742,0.1
0,67.8,183,0.01,18.2,11,8.758214538,0.2
0,72.4,129,1.29,57.6,30,832.9552058,0.1
0,61.1,295,0.71,42.7,11,85.7175381,1.4
0,72.5,147,1.08,72.1,0,4.783805563,0.1
0,76.5,127,6.74,52.7,1,956.8229765,0.1
